trip_id,period,risk_score,weather_risk_index,sea_condition_index
T001,2026-08-12,31,40,45
T001,2026-08-19,34,45,52
T002,2026-08-12,46,52,60
T002,2026-08-19,51,58,65
T003,2026-08-12,20,28,32
T003,2026-08-19,22,32,36
T004,2026-08-12,59,70,76
T004,2026-08-19,68,76,84
T005,2026-08-12,55,64,71
T005,2026-08-19,62,71,79
T006,2026-08-12,28,35,40
T006,2026-08-19,30,40,45
T007,2026-08-12,49,58,64
T007,2026-08-19,56,64,72
T008,2026-08-12,16,22,28
T008,2026-08-19,18,27,33
T009,2026-08-12,71,78,85
T009,2026-08-19,79,82,88
T010,2026-08-12,37,49,52
T010,2026-08-19,41,52,56
T011,2026-08-12,32,42,46
T011,2026-08-19,36,47,50
T012,2026-08-12,53,61,68
T012,2026-08-19,58,69,74
T013,2026-08-12,14,18,24
T013,2026-08-19,15,22,29
T014,2026-08-12,26,34,39
T014,2026-08-19,30,39,44
T015,2026-08-12,77,82,89
T015,2026-08-19,84,88,92
T016,2026-08-12,42,48,52
T016,2026-08-19,45,51,57
T017,2026-08-12,30,39,44
T017,2026-08-19,33,44,49
T018,2026-08-12,62,69,76
T018,2026-08-19,69,73,81
T019,2026-08-12,17,25,29
T019,2026-08-19,19,30,34
T020,2026-08-12,27,34,38
T020,2026-08-19,29,36,41
T021,2026-08-12,48,55,61
T021,2026-08-19,52,59,63
T022,2026-08-12,67,75,82
T022,2026-08-19,74,79,86
T023,2026-08-12,11,16,21
T023,2026-08-19,13,18,25
T024,2026-08-12,41,49,55
T024,2026-08-19,46,57,61
